Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"PAR","lei_4117_19620827, Art. 23., § 2º",201,202,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Caberá ao Conselho tomar conhecimento das denúncias feitas nesse sentido e, quando por dois terços de seus votos, entender comprovadas as acusações, encaminhar ao Presidente da República o pedido de nomeação do substitutivo.",urn:lex:br:federal:lei:1962-08-27;4117!art23_par2
"CPT","lei_4117_19620827, Art. 24., caput",205,206,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Das deliberações do Conselho caberá pedido de reconsideração para o mesmo e, em instância superior, recurso para o Ministro das Comunicações, salvo das deliberações tomadas sob a sua presidência, quando será dirigido diretamente ao Presidente da República.",urn:lex:br:federal:lei:1962-08-27;4117!art24_cpt
"PAR","lei_4117_19620827, Art. 24., § 1º",207,208,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] As decisões serão tomadas por maioria absoluta de votos dos representantes que compõem o Conselho, considerando-se unânimes tão somente as que contarem com a totalidade destes.",urn:lex:br:federal:lei:1962-08-27;4117!art24_par1
"PAR","lei_4117_19620827, Art. 24., § 2º",209,210,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O pedido de reconsideração ou o recurso de que trata este artigo deve ser apresentado no prazo de trinta (30) dias contados da notificação feita ao interessado por telegrama, ou carta registrada um e outro com aviso de recebimento, ou da publicação dessa notificação feita no Diário Oficial da União.",urn:lex:br:federal:lei:1962-08-27;4117!art24_par2
"PAR","lei_4117_19620827, Art. 24., § 3º",211,212,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O recurso terá efeito suspensivo. (Artigo com redação dada pela Lei nº 5.535, de 20.11.1968)",urn:lex:br:federal:lei:1962-08-27;4117!art24_par3
"CPT","lei_4117_19620827, Art. 25., caput",215,228,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O Departamento Nacional de Telecomunicações é a secretaria executiva do Conselho e terá a, seguinte organização administrativa: Divisão de Engenharia Divisão Jurídica Divisão Administrativa Divisão de Estatística Divisão de Fiscalização Delegacias Regionais. (Artigo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art25_cpt
"CPT","lei_4117_19620827, Art. 26., caput",231,232,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] O território nacional fica dividido em oito Distritos, a cada um dos quais corresponderá uma Delegacia Regional, com sede, respectivamente em: Brasília (DF) Belém (PA) Recife (PE) Salvador (BA) Rio de Janeiro (GB) São Paulo (SP) Porto Alegre (RS)",urn:lex:br:federal:lei:1962-08-27;4117!art26_cpt
"PAR","lei_4117_19620827, Art. 26., Parágrafo único.",233,234,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Cada Distrito terá a jurisdição delimitada pelo Conselho. (Artigo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art26_par1u
"CPT","lei_4117_19620827, Art. 27., caput",237,238,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] São criados, no Conselho, os cargos de provimento em comissão constantes da tabela anexa. (Artigo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art27_cpt
"CPT","lei_4117_19620827, Art. 28., caput",241,242,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] Os membros do Conselho, o seu presidente, o diretor geral os diretores de divisão e os delegados regionais serão cidadãos brasileiros de reputação ilibada e notórios conhecimentos de assuntos ligados aos diversos ramos de telecomunicações. (Expressão “o diretor geral os diretores de divisão e os delegados regionais” vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art28_cpt
